algo,input,dist,n,trial,time_ns,comparisons,swaps,accesses,alloc_bytes
HeapSort,HeapSort_n100,random,100,1,196292,1029,585,2340,0
HeapSort,HeapSort_n100,random,100,2,56625,1046,597,2388,0
HeapSort,HeapSort_n100,random,100,3,51584,1020,578,2312,0
HeapSort,HeapSort_n100,random,100,4,196459,1020,576,2304,0
HeapSort,HeapSort_n100,random,100,5,46792,1014,574,2296,0
HeapSort,HeapSort_n1000,random,1000,1,204083,16862,9075,36300,0
HeapSort,HeapSort_n1000,random,1000,2,170583,16821,9079,36316,0
HeapSort,HeapSort_n1000,random,1000,3,160625,16919,9113,36452,0
HeapSort,HeapSort_n1000,random,1000,4,159875,16837,9081,36324,0
HeapSort,HeapSort_n1000,random,1000,5,162584,16860,9068,36272,0
HeapSort,HeapSort_n10000,random,10000,1,1340875,235383,124194,496776,0
HeapSort,HeapSort_n10000,random,10000,2,1173000,235179,124078,496312,0
HeapSort,HeapSort_n10000,random,10000,3,2248958,235400,124234,496936,0
HeapSort,HeapSort_n10000,random,10000,4,955834,235283,124134,496536,0
HeapSort,HeapSort_n10000,random,10000,5,856042,235175,124052,496208,0
HeapSort,HeapSort_n100000,random,100000,1,9740959,3019865,1575264,6301056,0
HeapSort,HeapSort_n100000,random,100000,2,9326459,3019112,1574604,6298416,0
HeapSort,HeapSort_n100000,random,100000,3,10426459,3019622,1574913,6299652,0
HeapSort,HeapSort_n100000,random,100000,4,9210792,3019745,1575017,6300068,0
HeapSort,HeapSort_n100000,random,100000,5,9307333,3019492,1574510,6298040,0
